"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10"
"p21550",56,75,74,68,62,63,44,36,45,29
"p21551",64,73,86,68,68,67,58,38,44,37
"p21552",63,83,77,68,64,61,43,46,30,23
"p21553",91,50,28,24,21,5,7,5,2,1
"p21554",55,103,65,78,78,44,50,51,44,33
"p21555",58,66,88,79,64,52,63,44,43,34
"p21556",76,46,27,24,14,14,1,2,2,1
"p21557",62,92,76,73,58,59,58,36,48,44
"p21558",63,82,63,73,54,58,44,42,29,34
"p21559",105,40,30,24,16,14,4,6,0,4
"p21560",91,38,26,20,16,8,6,5,0,3
"p21561",45,87,68,72,69,41,39,44,45,45
"p21562",86,53,29,24,16,14,9,4,0,2
"p21563",69,80,80,74,70,60,57,51,35,49
"p21564",63,92,88,80,53,57,60,66,49,41
"p21565",63,77,73,65,61,63,46,38,40,37
"p21566",98,45,30,21,20,4,4,4,2,2
"p21567",57,88,69,65,56,57,58,48,37,42
"p21568",66,77,69,62,71,49,39,42,36,19
"p21569",77,74,61,53,73,45,42,40,42,31
"p21570",54,95,69,57,61,41,44,39,40,39
"p21571",106,52,29,19,11,13,5,2,2,4
"p21572",72,42,27,24,6,11,5,6,2,0
"p21573",81,30,24,22,11,10,4,6,0,3
"p21574",77,44,26,20,17,10,7,2,3,3
"p21575",101,49,34,23,19,15,5,4,2,2
"p21576",93,43,38,14,8,6,5,9,2,0
"p21577",81,44,28,20,18,11,2,5,1,2
"p21578",69,77,70,60,68,51,55,52,39,33
"p21579",82,53,32,22,16,9,6,8,2,2
"p21580",70,93,64,74,60,65,44,41,34,33
"p21581",99,55,33,29,11,9,6,4,3,1
"p21582",58,87,84,67,51,54,47,43,41,32
"p21583",91,47,30,19,18,7,9,3,1,1
"p21584",57,89,72,66,62,59,61,37,33,44
"p21585",62,96,81,53,47,56,52,61,41,47
"p21586",95,39,23,12,7,13,9,4,2,1
"p21587",70,47,25,25,19,8,9,4,6,4
"p21588",66,92,67,69,67,57,44,58,31,34
"p21589",98,38,25,27,12,11,4,4,0,1
"p21590",94,54,27,20,7,13,6,4,3,3
"p21591",65,66,73,75,49,53,38,46,52,41
"p21592",103,49,31,30,11,11,11,5,5,5
"p21593",79,51,34,17,20,9,3,2,3,1
"p21594",105,52,28,22,12,7,6,4,1,4
"p21595",90,39,34,19,14,7,9,3,3,2
"p21596",95,34,28,18,13,12,7,2,5,1
"p21597",67,89,63,64,66,51,47,46,26,35
"p21598",84,48,21,18,12,7,7,1,1,2
"p21599",85,41,34,18,15,9,3,2,1,0
"p21600",63,89,80,74,62,67,47,55,41,37
"p21601",60,83,70,73,52,55,47,38,50,48
"p21602",58,90,78,70,56,43,51,42,41,44
"p21603",82,45,26,19,11,6,8,5,2,1
"p21604",54,78,76,56,61,45,61,42,37,46
"p21605",103,34,41,20,9,5,9,5,2,1
"p21606",65,68,76,62,58,45,52,45,33,39
"p21607",95,45,35,21,15,8,4,5,1,1
"p21608",86,58,26,26,14,9,8,6,4,2
"p21609",48,95,68,79,55,62,42,46,46,29
"p21610",94,41,38,23,18,3,8,8,3,0
"p21611",57,79,58,68,62,53,52,39,52,45
"p21612",93,35,35,13,13,10,6,3,3,1
"p21613",59,103,81,80,73,57,46,49,41,49
"p21614",89,57,19,23,11,8,9,2,5,2
"p21615",54,73,82,80,47,72,56,37,40,33
"p21616",52,66,56,80,57,54,37,50,50,47
"p21617",96,48,26,25,17,10,5,4,2,0
"p21618",70,67,78,54,57,61,52,50,38,36
"p21619",57,83,62,60,66,52,51,52,42,28
"p21620",48,79,83,70,61,71,42,65,41,32
"p21621",48,76,69,71,50,54,52,37,36,50
"p21622",56,75,83,52,71,50,47,62,44,34
"p21623",99,45,37,22,12,11,3,5,1,3
"p21624",81,39,20,22,15,8,6,3,6,1
"p21625",103,51,37,16,20,6,7,4,3,2
"p21626",45,81,70,63,64,63,46,51,39,30
"p21627",92,42,31,12,22,3,4,4,3,0
"p21628",61,81,92,62,50,56,56,40,48,41
"p21629",109,42,27,24,15,10,5,6,4,0
"p21630",71,76,69,58,57,50,63,46,39,50
"p21631",100,34,20,18,11,15,11,3,1,1
"p21632",99,47,38,31,13,9,5,8,3,1
"p21633",81,39,35,26,15,7,6,5,2,1
"p21634",55,83,73,69,63,51,60,52,49,50
"p21635",82,36,23,20,11,9,8,6,3,3
"p21636",55,83,67,63,63,63,47,42,39,28
"p21637",93,48,34,26,13,9,5,3,1,1
"p21638",85,46,26,14,24,14,7,1,1,1
"p21639",50,93,75,67,65,53,64,48,40,42
"p21640",102,43,26,21,14,9,6,4,2,5
"p21641",97,37,34,28,15,9,7,3,3,4
"p21642",67,101,65,63,69,39,59,49,35,40
"p21643",69,87,76,74,62,58,53,38,38,45
"p21644",97,29,21,14,15,12,4,2,1,2
"p21645",63,82,59,63,63,54,49,51,43,22
"p21646",92,35,28,21,25,8,8,3,4,1
"p21647",59,84,70,60,60,51,54,39,38,38
"p21648",55,87,75,62,55,52,60,34,31,31
"p21649",83,48,28,20,14,12,4,2,0,0
"p21650",64,89,74,69,58,69,46,33,40,41
"p21651",49,90,73,78,56,70,42,35,37,38
"p21652",53,76,64,62,64,54,57,56,41,40
"p21653",57,89,63,69,57,62,49,48,41,34
"p21654",107,47,24,23,17,10,9,5,0,0
"p21655",63,92,85,54,66,61,55,45,54,41
"p21656",44,75,85,63,49,52,51,35,55,35
"p21657",51,85,79,62,46,56,43,54,49,34
"p21658",72,86,85,74,66,46,49,35,45,39
"p21659",92,40,22,20,17,19,6,8,2,3
"p21660",103,66,24,16,14,8,9,4,4,2
"p21661",66,79,66,60,73,63,50,46,39,34
"p21662",46,70,79,74,59,60,53,38,42,32
"p21663",58,89,89,79,60,54,57,35,38,34
"p21664",86,42,30,21,15,11,1,4,3,1
"p21665",95,46,29,18,9,5,7,5,3,1
"p21666",60,92,58,53,75,55,51,51,34,32
"p21667",65,78,74,71,61,45,44,45,60,40
"p21668",76,47,31,14,16,8,8,2,1,3
"p21669",72,70,69,79,56,48,63,47,48,35
"p21670",64,72,77,77,50,53,50,44,40,41
"p21671",64,49,25,28,16,5,8,2,1,3
"p21672",90,48,43,17,17,6,8,2,1,1
"p21673",65,88,59,52,55,59,46,59,47,37
"p21674",80,38,31,27,16,8,5,12,4,0
"p21675",65,84,66,49,61,64,52,50,36,29
"p21676",53,97,76,52,68,68,54,44,40,27
"p21677",65,84,69,63,64,40,54,55,40,38
"p21678",95,50,35,22,15,6,4,5,1,0
"p21679",100,41,34,16,15,8,4,7,4,0
"p21680",65,86,69,69,58,56,46,47,44,31
"p21681",65,82,66,85,62,66,48,48,44,32
"p21682",56,89,74,72,57,50,51,48,45,42
"p21683",65,72,82,64,66,47,50,45,34,41
"p21684",68,77,83,53,65,36,45,52,44,46
"p21685",60,94,79,65,64,52,51,54,25,40
"p21686",81,54,47,17,13,8,4,9,1,4
"p21687",59,70,61,59,63,50,54,43,37,42
"p21688",90,44,33,22,14,10,8,5,2,1
"p21689",67,111,74,66,73,69,50,46,38,43
"p21690",54,103,70,66,72,45,41,51,39,31
"p21691",61,79,53,63,56,67,50,40,48,35
"p21692",93,54,32,11,13,17,9,6,3,2
"p21693",82,51,29,28,15,5,9,2,4,0
"p21694",112,46,27,17,8,11,9,8,0,4
"p21695",68,86,82,63,75,51,39,45,43,41
"p21696",55,94,67,67,71,58,49,38,47,40
"p21697",60,84,73,63,54,57,55,43,44,39
"p21698",80,41,34,19,7,12,12,3,6,0
"p21699",92,46,27,26,17,12,9,6,2,2
"p21700",61,74,69,66,53,48,50,39,34,27
"p21701",91,43,34,22,12,6,5,1,2,1
"p21702",105,52,23,27,16,14,10,6,1,0
"p21703",98,44,29,21,13,15,4,7,2,2
"p21704",61,85,82,57,68,47,53,52,45,44
"p21705",60,58,74,59,75,49,53,47,33,33
"p21706",58,80,66,67,71,42,38,34,34,34
"p21707",99,49,29,28,12,10,9,5,1,3
"p21708",85,50,30,19,14,9,4,2,3,1
"p21709",79,58,22,19,16,14,6,3,4,2
"p21710",60,82,61,63,42,46,51,39,35,35
"p21711",76,89,81,74,62,51,39,44,37,33
"p21712",107,46,26,19,19,6,10,6,2,1
"p21713",89,49,36,25,13,10,1,2,3,3
"p21714",97,39,30,24,16,15,9,3,2,2
"p21715",95,35,36,18,12,6,11,3,1,3
"p21716",54,71,76,71,65,49,48,42,46,37
"p21717",88,55,25,15,16,8,5,6,7,2
"p21718",101,49,21,15,9,7,7,1,2,4
"p21719",50,94,90,73,56,45,37,43,44,35
"p21720",87,42,27,28,18,10,5,3,3,2
"p21721",92,46,27,15,12,8,8,3,4,2
"p21722",63,89,73,60,70,54,46,45,42,34
"p21723",55,93,73,79,69,64,40,34,38,28
"p21724",89,40,24,19,15,12,3,5,2,3
"p21725",62,82,71,49,72,60,47,51,41,33
"p21726",63,93,78,74,58,47,54,57,42,43
"p21727",72,95,78,83,68,55,43,47,40,35
"p21728",60,75,71,49,72,61,53,43,46,40
"p21729",86,42,20,20,15,11,9,5,2,1
"p21730",66,82,77,59,63,62,45,45,38,26
"p21731",78,36,29,22,12,5,4,7,1,3
"p21732",64,83,71,74,64,53,37,52,37,37
"p21733",94,40,32,23,12,7,7,2,3,0
"p21734",83,48,36,18,12,7,4,3,4,0
"p21735",96,49,24,19,10,7,4,0,2,1
"p21736",63,92,72,74,69,49,42,46,39,35
"p21737",117,34,30,11,12,12,6,8,1,3
"p21738",70,91,72,81,53,57,44,47,41,37
"p21739",99,39,33,19,6,10,6,1,2,3
"p21740",89,37,24,19,14,3,12,4,1,2
"p21741",62,76,88,68,66,40,44,45,38,36
"p21742",59,82,76,75,55,53,50,42,30,45
"p21743",66,90,69,79,64,57,47,37,45,42
"p21744",61,78,90,73,59,54,52,43,62,38
"p21745",86,38,45,27,18,8,4,5,1,3
"p21746",63,84,62,74,57,57,48,48,33,40
"p21747",89,42,28,17,9,13,9,7,2,2
"p21748",94,56,27,23,14,10,6,3,3,2
"p21749",79,48,24,20,11,7,12,5,3,1
"p21750",97,34,29,18,15,14,5,5,4,3
"p21751",113,36,33,19,11,8,3,1,1,3
"p21752",93,47,36,11,9,11,12,1,3,2
"p21753",99,50,21,17,12,13,5,6,3,1
"p21754",62,83,80,73,50,46,45,45,50,32
"p21755",52,95,70,80,52,61,48,42,51,31
"p21756",70,87,76,76,66,60,43,38,38,37
"p21757",88,42,31,28,18,11,1,6,3,3
"p21758",96,57,33,18,15,9,6,7,4,3
"p21759",82,45,36,21,17,6,7,4,1,4
"p21760",49,71,71,63,52,68,46,50,36,37
"p21761",94,48,24,22,14,5,5,3,2,1
"p21762",64,87,61,76,68,60,56,46,34,33
"p21763",94,46,29,12,9,4,5,3,0,2
"p21764",67,68,87,60,61,46,53,49,49,34
"p21765",83,38,18,21,11,9,5,4,5,5
"p21766",59,84,98,74,57,46,55,35,25,35
"p21767",93,33,37,15,11,12,5,3,4,0
"p21768",84,51,21,28,11,5,6,4,0,1
"p21769",93,38,41,17,15,12,10,9,3,2
"p21770",63,75,86,79,67,48,57,54,29,37
"p21771",86,42,43,22,9,9,5,4,1,2
"p21772",93,39,29,27,12,7,7,5,2,2
"p21773",80,50,24,28,14,10,14,3,2,2
"p21774",66,74,88,78,60,58,42,44,39,49
"p21775",94,50,35,19,12,7,8,5,2,2
"p21776",59,75,74,65,54,63,44,41,32,33
"p21777",92,56,24,20,20,13,6,3,4,2
"p21778",61,80,83,78,55,58,61,48,44,37
"p21779",85,40,23,17,20,11,8,4,0,3
"p21780",95,45,29,27,14,14,3,1,1,2
"p21781",61,72,75,70,58,63,36,45,37,33
"p21782",60,92,85,56,66,52,48,45,45,37
"p21783",60,80,71,69,38,46,60,56,49,51
"p21784",66,89,69,67,63,60,53,33,57,36
"p21785",105,46,31,13,17,10,3,1,5,3
"p21786",60,74,66,69,63,40,41,41,40,40
"p21787",62,90,86,67,53,47,61,45,38,33
"p21788",102,54,23,24,8,12,5,2,3,0
"p21789",85,54,25,19,10,7,9,1,4,0
"p21790",69,94,72,62,66,60,42,48,43,40
"p21791",59,77,83,55,64,45,39,48,36,36
"p21792",60,79,59,60,71,58,50,36,38,40
"p21793",92,55,27,21,12,4,9,4,5,1
"p21794",50,59,86,70,37,55,46,37,48,49
"p21795",98,38,42,16,12,6,4,4,1,3
"p21796",95,40,44,16,14,7,7,5,0,4
"p21797",60,75,84,55,70,51,48,41,38,24
"p21798",50,96,73,63,50,49,49,44,33,51
"p21799",102,60,32,22,13,13,10,2,2,0
"p21800",57,63,78,69,60,55,50,51,39,38
"p21801",59,104,79,62,62,53,58,49,47,44
"p21802",50,89,70,61,62,61,43,42,39,36
"p21803",93,36,32,22,15,13,6,5,0,1
"p21804",81,36,26,15,13,10,12,7,4,1
"p21805",87,48,39,23,14,13,6,6,4,2
"p21806",57,89,77,65,55,56,42,52,46,43
"p21807",73,82,69,65,58,50,52,46,33,34
"p21808",81,62,28,25,8,10,3,4,0,2
"p21809",90,45,33,20,18,10,11,6,2,1
"p21810",104,35,31,26,8,6,5,0,1,4
"p21811",63,92,74,74,53,58,49,40,46,36
"p21812",61,69,78,65,59,51,51,48,45,34
"p21813",59,106,68,62,61,67,58,28,45,38
"p21814",53,66,69,66,57,58,50,38,52,35
"p21815",66,81,70,63,62,55,53,34,46,38
"p21816",82,35,28,12,14,9,5,5,2,0
"p21817",76,36,39,25,16,8,8,1,1,2
"p21818",92,53,31,17,14,7,7,5,1,2
"p21819",44,84,63,58,56,58,60,51,32,30
"p21820",54,88,95,62,61,48,57,43,29,38
"p21821",84,38,25,25,11,7,7,4,0,1
"p21822",77,47,24,18,8,9,6,1,2,0
"p21823",77,62,25,20,15,8,5,4,4,2
"p21824",70,97,65,62,67,52,49,50,44,35
"p21825",97,39,38,31,11,15,4,2,3,1
"p21826",88,62,32,28,10,12,8,9,3,0
"p21827",65,80,75,61,58,62,61,61,40,30
"p21828",62,84,68,75,53,60,47,47,38,43
"p21829",52,81,76,74,44,35,49,42,45,33
"p21830",107,40,26,18,14,12,7,4,2,0
"p21831",86,46,26,17,17,15,6,2,2,1
"p21832",57,86,77,58,67,67,52,35,36,40
"p21833",69,67,73,61,64,63,53,47,48,33
"p21834",56,80,59,65,60,39,37,44,37,47
"p21835",80,34,22,34,14,13,4,8,2,2
"p21836",83,33,28,18,9,10,6,4,3,0
"p21837",83,50,30,26,13,8,6,5,2,1
"p21838",91,45,27,22,8,12,3,3,1,4
"p21839",89,36,31,25,12,7,3,4,1,0
"p21840",70,78,69,77,49,51,56,50,26,47
"p21841",96,42,34,19,15,10,8,6,3,0
"p21842",91,42,35,23,18,8,6,5,3,3
"p21843",91,48,27,15,13,9,10,1,2,3
"p21844",95,38,22,19,12,6,5,5,1,1
"p21845",63,87,63,77,55,53,48,47,48,41
"p21846",91,48,33,16,16,6,7,4,1,3
"p21847",65,75,69,66,82,69,57,39,32,44
"p21848",74,46,37,18,15,12,6,3,5,2
"p21849",45,85,66,65,48,52,48,44,38,36
"p21850",58,77,77,56,53,51,54,35,40,24
"p21851",57,65,77,59,66,56,49,32,40,31
"p21852",54,72,83,78,62,53,43,59,42,46
"p21853",55,85,79,57,52,52,48,49,39,35
"p21854",67,99,71,76,52,65,52,48,24,39
"p21855",54,78,58,71,69,50,45,49,45,38
"p21856",53,93,72,75,53,59,50,43,47,45
"p21857",55,74,79,49,74,62,39,50,37,34
"p21858",52,80,88,73,56,58,58,50,48,30
"p21859",71,87,95,61,65,53,51,60,31,41
"p21860",57,81,77,60,58,56,50,57,30,40
"p21861",86,48,32,18,12,9,4,6,6,3
"p21862",98,43,39,20,17,10,3,6,2,1
"p21863",93,49,26,20,16,8,7,7,1,0
"p21864",69,75,68,71,74,51,45,52,42,46
"p21865",95,52,27,14,11,6,7,4,5,0
"p21866",69,103,79,64,60,45,47,45,34,36
"p21867",59,73,77,60,59,65,42,38,33,38
"p21868",75,36,22,21,10,8,13,3,2,3
"p21869",93,51,23,20,15,12,10,6,2,4
"p21870",64,65,85,86,61,57,46,42,41,45
"p21871",92,30,31,22,19,8,12,3,4,3
"p21872",79,75,72,70,49,63,48,45,35,40
"p21873",97,51,30,19,17,14,6,4,4,1
"p21874",54,69,84,67,61,55,36,42,47,44
"p21875",83,53,36,27,12,8,5,3,0,0
"p21876",53,83,76,79,59,59,56,57,41,36
"p21877",56,72,71,57,67,47,55,37,34,28
"p21878",61,72,84,82,58,53,50,36,36,34
"p21879",85,62,34,25,18,12,4,1,4,0
"p21880",96,34,25,14,16,4,4,4,4,0
"p21881",99,41,24,18,12,7,8,4,4,2
"p21882",111,37,23,17,14,7,8,8,6,6
"p21883",85,44,37,24,10,15,3,3,0,1
"p21884",74,74,79,69,68,47,60,40,29,30
"p21885",61,75,73,78,51,58,58,44,47,40
"p21886",70,88,73,71,59,50,49,52,40,36
"p21887",91,46,27,23,19,9,4,1,3,3
"p21888",58,75,78,67,58,55,40,37,46,32
"p21889",67,82,86,70,67,57,42,52,41,31
"p21890",95,44,29,19,10,5,8,3,0,2
"p21891",86,55,31,29,11,6,6,8,5,1
"p21892",57,92,68,49,53,61,44,40,46,48
"p21893",66,80,69,77,63,68,50,37,31,34
"p21894",79,48,32,20,12,8,4,5,2,1
"p21895",84,44,29,29,21,14,2,5,5,1
"p21896",70,71,81,72,62,61,56,39,37,31
"p21897",92,36,28,23,12,3,9,6,3,2
"p21898",87,49,33,15,9,6,3,4,4,1
"p21899",106,45,21,20,15,11,4,6,4,3
"p21900",86,37,33,24,11,13,4,2,2,1
"p21901",78,40,22,15,16,7,4,6,2,1
"p21902",103,38,38,23,11,9,6,6,1,1
"p21903",98,49,32,23,13,9,4,3,7,4
"p21904",52,76,86,77,75,56,60,38,43,34
"p21905",58,72,79,83,61,45,59,42,36,28
"p21906",99,50,25,21,17,8,5,5,1,0
"p21907",87,42,32,30,16,8,4,4,0,3
"p21908",96,54,27,17,15,9,2,5,5,2
"p21909",63,69,83,82,71,54,51,32,42,45
"p21910",56,78,76,80,55,62,39,43,33,35
"p21911",96,31,40,14,14,11,5,4,6,0
"p21912",83,47,30,25,8,15,6,4,3,0
"p21913",68,91,84,65,56,62,49,45,38,38
"p21914",91,45,33,17,16,10,7,1,2,2
"p21915",73,82,75,55,62,51,55,51,40,35
"p21916",58,79,81,71,63,53,49,34,41,29
"p21917",45,84,76,79,60,54,65,47,43,32
"p21918",66,81,66,68,68,69,56,41,46,38
"p21919",58,91,63,68,61,42,49,44,46,36
"p21920",69,48,30,20,17,12,8,2,4,1
"p21921",92,44,34,26,13,6,2,6,3,1
"p21922",63,37,30,23,13,7,5,6,4,1
"p21923",69,74,68,69,66,40,40,44,42,37
"p21924",57,72,81,81,57,55,45,47,41,26
"p21925",56,98,77,73,65,66,49,45,39,40
"p21926",66,88,60,64,67,61,50,48,34,41
"p21927",56,74,82,65,48,63,57,51,31,28
"p21928",94,45,30,30,17,10,8,4,3,2
"p21929",92,38,25,16,12,10,7,5,3,4
"p21930",86,39,33,14,16,6,10,4,3,2
"p21931",70,73,76,64,74,40,61,51,45,35
"p21932",53,73,72,81,53,55,53,49,45,41
"p21933",92,45,27,27,7,10,5,3,0,1
"p21934",53,68,68,66,55,49,53,49,41,34
"p21935",93,51,35,20,13,4,9,3,2,3
"p21936",55,82,77,63,60,51,50,40,38,28
"p21937",91,47,37,20,7,5,5,8,6,1
"p21938",51,84,72,68,55,56,61,39,46,42
"p21939",94,51,32,24,13,7,5,5,4,0
"p21940",84,39,37,19,20,5,6,1,3,1
"p21941",102,40,29,20,14,8,8,5,3,1
"p21942",52,84,75,75,54,65,45,29,45,28
"p21943",56,75,59,61,66,55,51,42,38,32
"p21944",75,83,71,62,75,56,34,50,43,44
"p21945",53,68,67,83,55,54,45,39,40,40
"p21946",60,82,65,59,63,63,51,42,38,37
"p21947",84,53,28,12,14,4,6,6,3,0
"p21948",90,41,41,17,12,5,3,3,2,4
"p21949",56,67,69,63,63,42,37,32,43,46
"p21950",72,41,33,22,12,11,4,3,0,2
"p21951",83,39,29,21,12,7,7,6,2,0
"p21952",97,41,35,21,17,11,5,1,0,4
"p21953",62,77,68,57,50,62,41,39,41,41
"p21954",50,72,72,70,62,71,58,51,43,27
"p21955",94,49,30,18,17,11,4,3,0,2
"p21956",82,57,26,23,16,14,6,2,4,3
"p21957",57,92,66,66,74,70,42,54,43,35
"p21958",57,82,83,74,59,51,49,53,37,33
"p21959",92,40,26,22,14,7,8,2,5,2
"p21960",106,31,22,20,13,11,5,4,1,2
"p21961",64,86,82,65,53,55,43,39,34,36
"p21962",73,70,65,57,48,53,42,43,31,32
"p21963",91,39,27,21,12,10,6,7,2,2
"p21964",52,82,98,69,55,56,46,54,36,49
"p21965",62,83,74,67,56,57,53,45,46,35
"p21966",42,80,87,57,52,56,53,51,29,35
"p21967",58,89,75,67,77,62,38,44,34,38
"p21968",74,51,22,22,10,7,8,8,2,1
"p21969",84,48,23,24,14,8,9,3,6,3
"p21970",50,88,62,57,87,53,49,42,43,35
"p21971",60,82,82,57,76,53,57,50,34,34
"p21972",98,36,20,26,15,8,4,5,1,2
"p21973",92,40,32,21,7,9,7,4,3,0
"p21974",61,76,67,61,68,65,46,44,62,39
"p21975",104,34,26,23,12,6,4,3,4,2
"p21976",60,88,58,72,74,59,49,44,39,48
"p21977",75,49,30,18,14,7,6,2,5,1
"p21978",55,85,67,96,53,47,83,36,43,40
"p21979",93,34,34,23,15,8,5,4,2,2
"p21980",68,75,63,73,83,63,50,38,37,33
"p21981",45,92,82,71,58,60,39,44,35,33
"p21982",57,76,66,46,54,54,51,40,46,50
"p21983",57,76,79,65,67,60,55,37,43,29
"p21984",89,53,27,19,13,7,3,9,5,3
"p21985",96,40,38,23,12,8,4,7,1,1
"p21986",87,41,32,20,16,7,5,5,5,2
"p21987",55,89,76,70,56,49,51,51,39,33
"p21988",54,70,70,71,52,45,57,43,45,35
"p21989",84,44,26,19,9,7,8,4,3,1
"p21990",111,53,31,22,11,6,11,2,1,1
"p21991",83,44,40,19,11,7,10,1,3,1
"p21992",69,78,82,59,49,61,46,41,44,31
"p21993",48,81,90,73,52,61,44,42,42,35
"p21994",86,44,39,17,14,4,3,2,5,2
"p21995",96,37,37,19,23,9,5,5,1,2
"p21996",58,78,74,76,63,50,45,46,45,40
"p21997",68,87,78,50,54,48,58,58,36,43
"p21998",70,107,72,66,70,47,42,59,47,41
"p21999",87,39,26,18,9,15,8,6,4,0
"p22000",62,77,65,74,61,53,33,49,41,32
"p22001",92,46,33,23,10,10,4,5,2,2
"p22002",52,65,69,74,66,64,59,46,52,30
"p22003",82,47,29,14,12,7,4,3,2,3
"p22004",68,78,69,72,61,44,44,41,46,43
"p22005",64,96,80,68,69,59,47,52,34,33
"p22006",94,36,31,20,17,12,7,7,2,1
"p22007",95,39,28,25,8,11,6,3,4,5
"p22008",97,27,41,18,12,10,9,0,1,2
"p22009",73,86,84,64,40,53,50,41,37,34
"p22010",97,45,29,17,13,10,11,8,2,2
"p22011",59,84,70,68,63,54,52,54,39,34
"p22012",101,36,27,21,15,11,8,3,1,3
"p22013",85,41,26,24,14,10,7,3,5,4
"p22014",50,74,64,69,62,47,61,47,46,38
"p22015",65,89,68,73,53,56,47,43,47,38
"p22016",52,76,79,72,55,66,65,47,43,36
"p22017",55,63,68,66,59,66,41,48,43,39
"p22018",59,84,65,74,62,60,44,48,40,39
"p22019",64,83,67,68,58,52,51,49,50,34
"p22020",59,84,77,68,60,51,48,45,37,30
"p22021",97,44,30,22,12,8,4,5,2,0
"p22022",92,35,40,19,12,8,10,2,1,7
"p22023",78,37,37,15,8,12,6,3,4,1
"p22024",96,40,35,27,12,7,5,9,3,2
"p22025",100,51,25,27,18,10,5,2,3,0
"p22026",68,74,69,73,57,68,51,39,45,35
"p22027",96,51,32,25,6,7,7,2,2,1
"p22028",85,39,27,22,11,7,6,4,5,1
"p22029",84,58,25,13,7,8,8,7,3,3
"p22030",64,100,75,53,48,45,46,42,43,36
"p22031",51,89,86,54,61,62,44,50,41,33
"p22032",62,73,77,73,55,51,50,42,39,40
"p22033",70,87,72,54,44,61,56,59,36,38
"p22034",59,79,72,62,62,52,47,58,38,42
"p22035",86,32,21,27,16,11,4,2,6,4
"p22036",97,44,27,18,10,7,8,5,5,2
"p22037",58,79,80,73,66,49,50,50,39,47
"p22038",58,102,69,52,70,52,50,41,53,27
"p22039",59,80,62,61,70,47,49,48,52,45
"p22040",52,90,78,62,74,58,51,40,30,40
"p22041",78,68,93,82,49,69,42,47,34,31
"p22042",100,45,25,21,7,7,5,4,6,1
"p22043",52,78,81,68,53,51,47,33,36,43
"p22044",47,75,86,71,59,50,67,39,44,33
"p22045",63,65,75,66,60,55,58,30,56,32
"p22046",71,82,76,68,61,45,38,52,35,29
"p22047",89,44,29,17,17,8,6,6,3,5
"p22048",77,47,25,10,11,12,8,1,7,3
"p22049",62,93,77,67,57,63,49,43,38,43
"p22050",69,89,56,70,58,46,52,48,32,34
"p22051",94,42,33,18,10,11,5,15,3,1
"p22052",103,49,24,18,12,10,2,7,7,3
"p22053",49,112,64,72,71,63,45,53,44,30
"p22054",86,56,26,24,6,12,7,2,3,3
"p22055",54,99,69,56,49,50,45,49,36,36
"p22056",66,88,75,72,60,51,36,48,52,34
"p22057",69,80,72,67,56,52,36,55,34,37
"p22058",95,36,33,23,13,5,3,3,3,2
"p22059",86,43,29,24,19,8,6,5,2,6
"p22060",65,90,74,77,75,62,43,46,49,37
"p22061",68,44,35,13,12,7,9,5,1,4
"p22062",94,37,26,18,19,9,5,4,4,3
"p22063",67,85,56,70,74,49,51,36,27,35
"p22064",83,52,25,27,16,10,5,1,4,2
"p22065",92,42,21,25,14,11,9,6,3,2
"p22066",60,67,90,60,59,48,46,45,47,39
"p22067",66,81,79,51,58,48,47,41,28,34
"p22068",59,85,73,73,47,62,41,34,46,43
"p22069",83,32,34,26,16,10,5,8,3,1
"p22070",65,71,62,62,68,51,49,39,46,37
"p22071",63,78,70,71,50,51,47,58,41,40
"p22072",93,48,37,20,11,9,13,4,3,3
"p22073",58,88,81,77,58,77,38,47,36,41
"p22074",89,52,28,16,16,8,8,2,3,0
"p22075",80,45,24,20,16,10,4,4,0,0
"p22076",111,38,31,27,19,10,1,4,4,4
"p22077",61,78,67,60,57,50,46,51,46,49
"p22078",93,44,34,26,13,8,6,1,6,2
"p22079",60,75,81,62,51,55,55,47,42,48
"p22080",60,77,86,60,57,48,48,36,46,40
"p22081",62,85,74,57,61,63,46,48,28,29
"p22082",74,49,32,19,13,10,9,5,1,1
"p22083",102,60,27,25,13,14,4,3,2,3
"p22084",67,78,68,63,65,51,58,46,40,28
"p22085",83,51,34,17,12,15,5,2,4,2
"p22086",86,53,30,23,15,6,4,4,2,1
"p22087",57,91,78,72,65,44,45,46,39,40
"p22088",60,79,72,68,61,61,59,48,45,42
"p22089",52,89,69,61,70,73,50,46,35,38
"p22090",51,73,75,73,46,59,44,43,36,41
"p22091",106,56,24,18,13,3,9,7,2,1
"p22092",86,32,23,14,8,10,3,3,3,2
"p22093",56,91,69,68,65,58,45,40,34,31
"p22094",81,39,26,18,13,11,4,3,2,0
"p22095",100,44,27,30,19,11,3,3,0,2
"p22096",79,40,19,21,8,7,5,3,4,2
"p22097",65,84,78,56,64,49,42,35,43,40
"p22098",92,47,30,22,11,7,7,4,4,3
"p22099",104,38,32,17,12,10,4,9,4,1
"p22100",61,92,81,61,64,53,50,50,45,35
"p22101",76,43,39,15,11,10,8,8,4,4
"p22102",90,42,32,22,20,11,2,6,4,4
"p22103",81,53,35,21,7,12,2,4,4,5
"p22104",101,52,31,17,13,4,8,6,4,1
"p22105",57,75,65,71,78,59,50,43,53,36
"p22106",59,78,68,77,64,44,56,48,38,32
"p22107",76,45,34,16,16,10,6,5,6,1
